id,name,loc,years,fee,link-href,info,clinic_add,sched_day,sched_time,services,clinic_loc,clinic_name,clinic_fee,clinic_dir
0,Dr. Adelyn Joy Baybayan,"East Rembo, Makati",10,₱500,https://www.practo.com/makati/doctor/dr-adelyn-joy-baybayan-dermatologist-cosmetologist?specialization=&practice_id=750065,"Dr. Adelyn Joy Baybayan is a Dermatologist in East Rembo, Makati and has an experience of 10 years in this field.                                                 more..","383 J.P. Rizal Street, Makati",Mon - Sat,9:00 AM - 6:00 PM,"[{""services"":""Dermabrasion""},{""services"":""Scar Treatment""},{""services"":""Photofacial""},{""services"":""Laser Resurfacing""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Tattoo Removal""},{""services"":""Leucoderma Treatment""},{""services"":""Acne / Pimples Treatment""},{""services"":""Laser Hair Removal - Face""},{""services"":""Wart Removal""}]","East Rembo, Makati",Merly's Beauty Skin Care,₱500,"http://www.google.com/maps/place/14.571602,121.01608"
1,Dr. Ailza B.R. Limcangco,"San Lorenzo, Makati",16,₱500,https://www.practo.com/makati/doctor/ailza-b-r-limcangco-dermatologist-cosmetologist?specialization=&practice_id=761466,"Dr. Ailza B.R. Limcangco is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 16 years in this field.                                            more..","4th Level Market.Market B6C Taguig City, Taguig",Thu,11:00 AM - 1:00 PM,"[{""services"":""Scar Treatment""},{""services"":""Tattoo Removal""},{""services"":""Dermabrasion""},{""services"":""Laser Hair Removal - Face""},{""services"":""Laser Resurfacing""},{""services"":""Photofacial""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Wart Removal""},{""services"":""Acne / Pimples Treatment""}]","Fort Bonifacio, Taguig",Healthway Clinic,₱600,"http://www.google.com/maps/place/14.549537,121.05585"
1,Dr. Ailza B.R. Limcangco,"San Lorenzo, Makati",16,₱500,https://www.practo.com/makati/doctor/ailza-b-r-limcangco-dermatologist-cosmetologist?specialization=&practice_id=761466,"Dr. Ailza B.R. Limcangco is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 16 years in this field.                                            more..","4th Level Market.Market B6C Taguig City, Taguig",Fri,12:00 PM - 7:00 PM,"[{""services"":""Scar Treatment""},{""services"":""Tattoo Removal""},{""services"":""Dermabrasion""},{""services"":""Laser Hair Removal - Face""},{""services"":""Laser Resurfacing""},{""services"":""Photofacial""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Wart Removal""},{""services"":""Acne / Pimples Treatment""}]","Fort Bonifacio, Taguig",Healthway Clinic,₱600,"http://www.google.com/maps/place/14.549537,121.05585"
1,Dr. Ailza B.R. Limcangco,"San Lorenzo, Makati",16,₱500,https://www.practo.com/makati/doctor/ailza-b-r-limcangco-dermatologist-cosmetologist?specialization=&practice_id=761466,"Dr. Ailza B.R. Limcangco is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 16 years in this field.                                            more..","4th Level Greenbelt 5 Ayala Center Makati City, Makati",Thu,4:00 PM - 7:00 PM,"[{""services"":""Scar Treatment""},{""services"":""Tattoo Removal""},{""services"":""Dermabrasion""},{""services"":""Laser Hair Removal - Face""},{""services"":""Laser Resurfacing""},{""services"":""Photofacial""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Wart Removal""},{""services"":""Acne / Pimples Treatment""}]","San Lorenzo, Makati",Healthway Clinic,₱500,"http://www.google.com/maps/place/26.857742,80.88134"
2,Dr. Amy Bautista,"Poblacion, Makati",11,₱500,https://www.practo.com/makati/doctor/dr-amy-bautista?specialization=&practice_id=1186385,Dr. Amy Bautista is a member of the American Board of Aesthetic Medicine and has a vast knowledge of aesthetic procedures. She is the medical director of Asian   more..,"2nd Level, Xanland Place Condominium, 323 Katipunan Ave., Landmark: in front of Ateneo University, Quezon City","Tue, Sat",2:00 PM - 6:00 PM,"[{""services"":""Body Slimming/Body Contouring""},{""services"":""Facial Contouring/Double Chin Reduction""},{""services"":""Sclerotherapy""},{""services"":""Melt and Freeze the Fat Away""},{""services"":""Sexy Arms""},{""services"":""Sexy Tummy""},{""services"":""Non-surgical Face Lift""},{""services"":""Fillers""},{""services"":""BOTOX""},{""services"":""Nose Threading""},{""services"":""Rhinoplasty/Nose Lift""},{""services"":""Blepharoplasty""},{""services"":""Buccal Fat Removal""},{""services"":""Face Lift""},{""services"":""Autoplasty""}]","Loyola Heights, Quezon City",Asian Aesthetic Center Dermatology & Facial Plastic Surgery,₱500,"http://www.google.com/maps/place/14.639962,121.07403"
2,Dr. Amy Bautista,"Poblacion, Makati",11,₱500,https://www.practo.com/makati/doctor/dr-amy-bautista?specialization=&practice_id=1186385,Dr. Amy Bautista is a member of the American Board of Aesthetic Medicine and has a vast knowledge of aesthetic procedures. She is the medical director of Asian   more..,"Centuria Medical Makati, Suite 1006, Century City, Kalayaan Ave. cor. Salamanca St. Brgy. Poblacion, Makati City, Landmark: In Front Of Century Mall Makati, Makati","Mon, Fri",2:00 PM - 6:00 PM,"[{""services"":""Body Slimming/Body Contouring""},{""services"":""Facial Contouring/Double Chin Reduction""},{""services"":""Sclerotherapy""},{""services"":""Melt and Freeze the Fat Away""},{""services"":""Sexy Arms""},{""services"":""Sexy Tummy""},{""services"":""Non-surgical Face Lift""},{""services"":""Fillers""},{""services"":""BOTOX""},{""services"":""Nose Threading""},{""services"":""Rhinoplasty/Nose Lift""},{""services"":""Blepharoplasty""},{""services"":""Buccal Fat Removal""},{""services"":""Face Lift""},{""services"":""Autoplasty""}]","Poblacion, Makati",Asian Aesthetic Center,₱500,"http://www.google.com/maps/place/14.56704,121.02825"
3,Dr. Annaliza C. Dela Rosa,"Pio del Pilar, Makati",20,₱500,https://www.practo.com/makati/doctor/dr-annaliza-cabatingan-dela-rosa-wellness?specialization=&practice_id=747656,"Dr. Annaliza C. Dela Rosa is a Dermatologist in Pio del Pilar, Makati and has an experience of 20 years in this field.                                            more..","Unit 2018-19 2nd Level Dela Rosa Square, 2116 Pasong Tamo corner Dela Rosa Street, Makati",Mon - Sat,11:00 AM - 7:00 PM,"[{""services"":""Botox Injections""},{""services"":""Weight Loss Diet Counseling""},{""services"":""Scar Treatment""},{""services"":""Anti Aging Treatment""},{""services"":""Acne / Pimples Treatment""},{""services"":""Dermabrasion""},{""services"":""Fungal Infection Treatment""},{""services"":""Laser""},{""services"":""Wart Removal""},{""services"":""Photofacial""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""}]","Pio del Pilar, Makati",The Skin Clinic,₱500,"http://www.google.com/maps/place/14.571537,121.01547"
4,Dr. Armelia Torres,"Poblacion, Makati",14,₱700,https://www.practo.com/makati/doctor/armelia-torres-dermatologist?specialization=&practice_id=1128854,"Knowing what beautiful skin means and how important it is in someone’s life, Dr. Amelia Torres offers the best and effective skin care solution specifically cat  more..","Rm 2012 Centuria Medical Tower, Kalayaan Ave, Century City, Makati City 1200, Philippines, Landmark: Century City  Mall, Makati","Wed, Fri - Sat",11:00 AM - 2:00 PM,"[{""services"":""Botox""}]","Poblacion, Makati",Enhancements Skin and Cosmetic Surgery,₱700,"http://www.google.com/maps/place/14.5658,121.02838"
4,Dr. Armelia Torres,"Poblacion, Makati",14,₱700,https://www.practo.com/makati/doctor/armelia-torres-dermatologist?specialization=&practice_id=1128854,"Knowing what beautiful skin means and how important it is in someone’s life, Dr. Amelia Torres offers the best and effective skin care solution specifically cat  more..","Rm 2012 Centuria Medical Tower, Kalayaan Ave, Century City, Makati City 1200, Philippines, Landmark: Century City  Mall, Makati","Tue, Thu",3:00 PM - 6:00 PM,"[{""services"":""Botox""}]","Poblacion, Makati",Enhancements Skin and Cosmetic Surgery,₱700,"http://www.google.com/maps/place/14.5658,121.02838"
5,Dr. Catherine Porciuncula,"Bel-Air, Makati",9,₱500,https://www.practo.com/makati/doctor/catherine-porciuncula-dermatologist?specialization=&practice_id=1057876,"Dr. Catherine Porciuncula is an Aesthetic Dermatologist and Anti-Aging Specialist in Quezon City, Metro Manila and has an experience of 6 years in this field. D  more..","120 Plaza Royale Building, LP Leviste Street, Makati",Mon,1:00 PM - 3:00 PM,"[{""services"":""Anti Aging Treatment""},{""services"":""General Skin Consultation""},{""services"":""Facial Treatment""},{""services"":""Skin Peeling""},{""services"":""Acne Solution and Therapy""},{""services"":""Laser Treatment""},{""services"":""Cosmetic Treatments""},{""services"":""NonInvasive Surgical Procedures""},{""services"":""Anti-aging and Anti-oxidant Therapies""},{""services"":""Botox Injections""},{""services"":""Slimming and weight management""},{""services"":""Whitening and Detox Treatments""},{""services"":""Skin Care Cosmeceuticals and Regimen""}]","Bel-Air, Makati",Skintology,₱500,"http://www.google.com/maps/place/14.559483,121.02089"
