id,name,loc,years,fee,link-href,info,clinic_add,sched_day,sched_time,services,clinic_loc,clinic_name,clinic_fee,clinic_dir
0,Dr. Abigail C. Co,"Ermita, Manila",11,₱400,https://www.practo.com/manila/doctor/dr-abigail-c-co-dermatologist-cosmetologist?specialization=&practice_id=890495,"Dr. Abigail C. Co is a Dermatologist in Ermita, Manila and has an experience of 11 years in this field.                                                           more..","UN Avenue cor Taft Avenue, Ermita., Landmark: Near LRT Station, Manila",Tue,1:00 PM - 4:00 PM,"[{""services"":""Electrocutery-Warts , Cysts,""},{""services"":""Diamond Peel""},{""services"":""Consultation for Desiese of the Slan""},{""services"":""Lusen,RF""},{""services"":""Facial""}]","Ermita, Manila",Manila Medical Center - Room No. 32 Mezzanine,₱400,"http://www.google.com/maps/place/14.582817,120.984886"
0,Dr. Abigail C. Co,"Ermita, Manila",11,₱400,https://www.practo.com/manila/doctor/dr-abigail-c-co-dermatologist-cosmetologist?specialization=&practice_id=890495,"Dr. Abigail C. Co is a Dermatologist in Ermita, Manila and has an experience of 11 years in this field.                                                           more..","UN Avenue cor Taft Avenue, Ermita., Landmark: Near LRT Station, Manila",Thu,9:00 AM - 12:00 PM,"[{""services"":""Electrocutery-Warts , Cysts,""},{""services"":""Diamond Peel""},{""services"":""Consultation for Desiese of the Slan""},{""services"":""Lusen,RF""},{""services"":""Facial""}]","Ermita, Manila",Manila Medical Center - Room No. 32 Mezzanine,₱400,"http://www.google.com/maps/place/14.582817,120.984886"
0,Dr. Abigail C. Co,"Ermita, Manila",11,₱400,https://www.practo.com/manila/doctor/dr-abigail-c-co-dermatologist-cosmetologist?specialization=&practice_id=890495,"Dr. Abigail C. Co is a Dermatologist in Ermita, Manila and has an experience of 11 years in this field.                                                           more..","1203 Masangkay Street Room 103  Sta. Cruz, Manila","Wed, Sat",9:00 AM - 4:00 PM,"[{""services"":""Electrocutery-Warts , Cysts,""},{""services"":""Diamond Peel""},{""services"":""Consultation for Desiese of the Slan""},{""services"":""Lusen,RF""},{""services"":""Facial""}]","Binondo, Manila",Abigail Co Skin Hair & Male Clinic,₱600,"http://www.google.com/maps/place/14.607076,120.97565"
1,Dr. Aileen L. Versoza,"Ermita, Manila",14,₱660,https://www.practo.com/manila/doctor/dr-aileen-l-versoza-dermatologist-cosmetologist?specialization=&practice_id=873276,"Dr. Aileen L. Versoza is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 14 years in this field.                                               more..","2/L Unit 78 Shoppesville Arcade, Greenhills Shopping Center, Ortigas Avenue, Greenhills, San Juan City., San Juan",Mon - Sat,9:00 AM - 5:00 PM,"[{""services"":""Plastic Surgery Clinic""}]","Greenhills North, San Juan",Skin Care Rx,₱660,"http://www.google.com/maps/place/14.601982,121.04918"
1,Dr. Aileen L. Versoza,"Ermita, Manila",14,₱660,https://www.practo.com/manila/doctor/dr-aileen-l-versoza-dermatologist-cosmetologist?specialization=&practice_id=873276,"Dr. Aileen L. Versoza is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 14 years in this field.                                               more..","8 Adriatico Condo Padre Faura Corner Bocobo Street Malate Manila, Manila",Mon - Sun,10:00 AM - 9:00 PM,"[{""services"":""Plastic Surgery Clinic""}]","Ermita, Manila",Healthway Clinic,₱660,"http://www.google.com/maps/place/14.578497,120.98168"
1,Dr. Aileen L. Versoza,"Ermita, Manila",14,₱660,https://www.practo.com/manila/doctor/dr-aileen-l-versoza-dermatologist-cosmetologist?specialization=&practice_id=873276,"Dr. Aileen L. Versoza is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 14 years in this field.                                               more..","4th Level Market.Market B6C Taguig City, Taguig",Mon - Sat,7:00 AM - 8:00 PM,"[{""services"":""Plastic Surgery Clinic""}]","Fort Bonifacio, Taguig",Healthway Clinic,₱660,"http://www.google.com/maps/place/14.549537,121.05585"
2,Dr. Amadeus B. Baraan,"Malate, Manila",7,Free Consultation,https://www.practo.com/manila/doctor/dr-amadeus-b-baraa-dermatologist-cosmetologist?specialization=&practice_id=766336,"Dr. Amadeus B. Baraan is a Dermatologist in Malate, Manila and has an experience of 7 years in this field.                                                        more..","Baranggay 719, President Quirino Avenue Boulevard Malate, Manila., Manila",Mon - Fri,8:00 AM - 5:00 PM,"[{""services"":""Wart Removal""},{""services"":""Laser Hair Removal - Face""},{""services"":""Dermabrasion""},{""services"":""Acne Surgery""},{""services"":""Photofacial""},{""services"":""Acne / Pimples Treatment""},{""services"":""Tattoo Removal""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Laser Resurfacing""},{""services"":""Scar Treatment""}]","Malate, Manila",Ospital Ng Maynila,null,"http://www.google.com/maps/place/14.563647,120.98604"
3,Dr. Angelina P. Aquende,"Sampaloc, Manila",41,Free Consultation,https://www.practo.com/manila/doctor/dr-angelina-p-aquende-dermatologist-cosmetologist?specialization=&practice_id=1123481,"Dr. Angelina P. Aquende is a Dermatologist in Greenhills North, San Juan and has an experience of 41 years in this field.                                         more..","Unit 116 Gold Condominium, Annapolis, San Juan, San Juan",Mon - Sat,9:30 AM - 9:30 PM,"[{""services"":""Acne / Pimples Treatment""},{""services"":""Laser Resurfacing""},{""services"":""Anti Aging Treatment""},{""services"":""Scar Treatment""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Photofacial""},{""services"":""Dermabrasion""},{""services"":""Wart Removal""},{""services"":""Laser Hair Removal - Face""}]","Greenhills North, San Juan",Dermdaze Facial Salon,₱350,"http://www.google.com/maps/place/14.605411,121.05494"
3,Dr. Angelina P. Aquende,"Sampaloc, Manila",41,Free Consultation,https://www.practo.com/manila/doctor/dr-angelina-p-aquende-dermatologist-cosmetologist?specialization=&practice_id=1123481,"Dr. Angelina P. Aquende is a Dermatologist in Greenhills North, San Juan and has an experience of 41 years in this field.                                         more..","667 F.T Dalupan Sr. Street, Sampaloc, Manila","Mon, Wed",12:30 PM - 6:30 PM,"[{""services"":""Acne / Pimples Treatment""},{""services"":""Laser Resurfacing""},{""services"":""Anti Aging Treatment""},{""services"":""Scar Treatment""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Photofacial""},{""services"":""Dermabrasion""},{""services"":""Wart Removal""},{""services"":""Laser Hair Removal - Face""}]","Sampaloc, Manila",Mary Chiles General Hospital - Room No. 364,null,"http://www.google.com/maps/place/14.610548,120.99665"
3,Dr. Angelina P. Aquende,"Sampaloc, Manila",41,Free Consultation,https://www.practo.com/manila/doctor/dr-angelina-p-aquende-dermatologist-cosmetologist?specialization=&practice_id=1123481,"Dr. Angelina P. Aquende is a Dermatologist in Greenhills North, San Juan and has an experience of 41 years in this field.                                         more..","667 F.T Dalupan Sr. Street, Sampaloc, Manila",Fri - Sat,12:30 PM - 7:00 PM,"[{""services"":""Acne / Pimples Treatment""},{""services"":""Laser Resurfacing""},{""services"":""Anti Aging Treatment""},{""services"":""Scar Treatment""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Photofacial""},{""services"":""Dermabrasion""},{""services"":""Wart Removal""},{""services"":""Laser Hair Removal - Face""}]","Sampaloc, Manila",Mary Chiles General Hospital - Room No. 364,null,"http://www.google.com/maps/place/14.610548,120.99665"
