id,name,loc,years,fee,link-href,info,clinic_add,sched_day,sched_time,services,clinic_loc,clinic_name,clinic_fee,clinic_dir
0,Dr. Anna Gracia A. Garcia,"Ayala Alabang, Muntinlupa",null,Free Consultation,https://www.practo.com/muntinlupa/doctor/dr-anna-gracia-a-garcia-dermatologist-cosmetologist?specialization=&practice_id=1120332,"Dr. Anna Gracia A. Garcia is a Dermatologist in Ayala Alabang, Muntinlupa                                                                                         more..","2205, Room Asian Hospital And Medical Center, Civic Drive, Filinvest Corporate City, Alabang,Muntinlupa City., Muntinlupa","Tue, Thu",10:00 AM - 12:00 PM,"[{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Scar Treatment""},{""services"":""Photofacial""},{""services"":""Tattoo Removal""},{""services"":""Laser Hair Removal - Face""},{""services"":""Leucoderma Treatment""},{""services"":""Laser Resurfacing""},{""services"":""Wart Removal""},{""services"":""Acne / Pimples Treatment""},{""services"":""Dermabrasion""}]","Ayala Alabang, Muntinlupa",Asian Hospital and Medical Center - Room No.610,null,"http://www.google.com/maps/place/14.413348,121.043274"
0,Dr. Anna Gracia A. Garcia,"Ayala Alabang, Muntinlupa",null,Free Consultation,https://www.practo.com/muntinlupa/doctor/dr-anna-gracia-a-garcia-dermatologist-cosmetologist?specialization=&practice_id=1120332,"Dr. Anna Gracia A. Garcia is a Dermatologist in Ayala Alabang, Muntinlupa                                                                                         more..","2205, Room Asian Hospital And Medical Center, Civic Drive, Filinvest Corporate City, Alabang,Muntinlupa City., Muntinlupa",Fri,4:00 PM - 6:00 PM,"[{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Scar Treatment""},{""services"":""Photofacial""},{""services"":""Tattoo Removal""},{""services"":""Laser Hair Removal - Face""},{""services"":""Leucoderma Treatment""},{""services"":""Laser Resurfacing""},{""services"":""Wart Removal""},{""services"":""Acne / Pimples Treatment""},{""services"":""Dermabrasion""}]","Ayala Alabang, Muntinlupa",Asian Hospital and Medical Center - Room No.610,null,"http://www.google.com/maps/place/14.413348,121.043274"
1,Dr. Arsenia C. Guiang,"Ayala Alabang, Muntinlupa",38,"₱1,000",https://www.practo.com/muntinlupa/doctor/dr-dr-arsenia-c-guiang-dermatologist-cosmetologist?specialization=&practice_id=728208,"Dr. Arsenia C. Guiang is a Dermatologist in Ayala Alabang, Muntinlupa and has an experience of 38 years in this field.                                            more..","2205, Room Asian Hospital And Medical Center, Civic Drive, Filinvest Corporate City, Alabang,Muntinlupa City., Muntinlupa",Sat,1:00 PM - 3:00 PM,"[{""services"":""Laser Resurfacing""},{""services"":""Dermabrasion""},{""services"":""Leucoderma Treatment""},{""services"":""Tattoo Removal""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Laser Hair Removal - Face""},{""services"":""Scar Treatment""},{""services"":""Acne / Pimples Treatment""},{""services"":""Photofacial""},{""services"":""Wart Removal""}]","Ayala Alabang, Muntinlupa",Asian Hospital and Medical Center - Room No.615,null,"http://www.google.com/maps/place/14.413348,121.043274"
1,Dr. Arsenia C. Guiang,"Ayala Alabang, Muntinlupa",38,"₱1,000",https://www.practo.com/muntinlupa/doctor/dr-dr-arsenia-c-guiang-dermatologist-cosmetologist?specialization=&practice_id=728208,"Dr. Arsenia C. Guiang is a Dermatologist in Ayala Alabang, Muntinlupa and has an experience of 38 years in this field.                                            more..","Alabang Town Center, Alabang Commercial Corporation, Alabang-Zapote Road, Servicetown, Muntinlupa",Mon - Fri,9:00 AM - 6:00 PM,"[{""services"":""Laser Resurfacing""},{""services"":""Dermabrasion""},{""services"":""Leucoderma Treatment""},{""services"":""Tattoo Removal""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Laser Hair Removal - Face""},{""services"":""Scar Treatment""},{""services"":""Acne / Pimples Treatment""},{""services"":""Photofacial""},{""services"":""Wart Removal""}]","Ayala Alabang, Muntinlupa",ATC Medical and Dental Clinic,₱1000,"http://www.google.com/maps/place/14.424071,121.03026"
1,Dr. Arsenia C. Guiang,"Ayala Alabang, Muntinlupa",38,"₱1,000",https://www.practo.com/muntinlupa/doctor/dr-dr-arsenia-c-guiang-dermatologist-cosmetologist?specialization=&practice_id=728208,"Dr. Arsenia C. Guiang is a Dermatologist in Ayala Alabang, Muntinlupa and has an experience of 38 years in this field.                                            more..","2205, Room Asian Hospital And Medical Center, Civic Drive, Filinvest Corporate City, Alabang,Muntinlupa City., Muntinlupa",Wed,9:00 AM - 3:00 PM,"[{""services"":""Laser Resurfacing""},{""services"":""Dermabrasion""},{""services"":""Leucoderma Treatment""},{""services"":""Tattoo Removal""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Laser Hair Removal - Face""},{""services"":""Scar Treatment""},{""services"":""Acne / Pimples Treatment""},{""services"":""Photofacial""},{""services"":""Wart Removal""}]","Ayala Alabang, Muntinlupa",Asian Hospital and Medical Center - Room No.615,null,"http://www.google.com/maps/place/14.413348,121.043274"
2,Dr. Clarisse G. Mendoza,"Ayala Alabang, Muntinlupa",null,Free Consultation,https://www.practo.com/muntinlupa/doctor/dr-clarisse-g-mendoza-dermatologist-cosmetologist?specialization=&practice_id=737486,"Dr. Clarisse G. Mendoza is a Dermatologist in Ayala Alabang, Muntinlupa                                                                                           more..","2205, Room Asian Hospital And Medical Center, Civic Drive, Filinvest Corporate City, Alabang,Muntinlupa City., Muntinlupa","Tue, Sat",1:00 PM - 4:00 PM,"[{""services"":""Hair Loss Treatment""},{""services"":""Anti Aging Treatment""},{""services"":""Botox Injections""},{""services"":""Scar Treatment""},{""services"":""Laser Hair Removal - Face""},{""services"":""Dermaroller""},{""services"":""Wart Removal""},{""services"":""Acne / Pimples Treatment""},{""services"":""Dental Fillings""}]","Ayala Alabang, Muntinlupa",Asian Hospital And Medical Center - Room No.310,null,"http://www.google.com/maps/place/14.413348,121.043274"
2,Dr. Clarisse G. Mendoza,"Ayala Alabang, Muntinlupa",null,Free Consultation,https://www.practo.com/muntinlupa/doctor/dr-clarisse-g-mendoza-dermatologist-cosmetologist?specialization=&practice_id=737486,"Dr. Clarisse G. Mendoza is a Dermatologist in Ayala Alabang, Muntinlupa                                                                                           more..","2205, Room Asian Hospital And Medical Center, Civic Drive, Filinvest Corporate City, Alabang,Muntinlupa City., Muntinlupa","Mon, Wed",9:00 AM - 12:00 PM,"[{""services"":""Hair Loss Treatment""},{""services"":""Anti Aging Treatment""},{""services"":""Botox Injections""},{""services"":""Scar Treatment""},{""services"":""Laser Hair Removal - Face""},{""services"":""Dermaroller""},{""services"":""Wart Removal""},{""services"":""Acne / Pimples Treatment""},{""services"":""Dental Fillings""}]","Ayala Alabang, Muntinlupa",Asian Hospital And Medical Center - Room No.310,null,"http://www.google.com/maps/place/14.413348,121.043274"
3,Dr. Cristina Regina L. Reyes,"Ayala Alabang, Muntinlupa",null,Free Consultation,https://www.practo.com/muntinlupa/doctor/dr-cristina-regina-l-reyes-dermatologist-cosmetologist?specialization=&practice_id=1120114,"Dr. Cristina Regina L. Reyes is a Dermatologist in Ayala Alabang, Muntinlupa                                                                                      more..","2205, Room Asian Hospital And Medical Center, Civic Drive, Filinvest Corporate City, Alabang,Muntinlupa City., Muntinlupa","Tue, Thu",9:00 AM - 10:00 AM,"[{""services"":""Acne / Pimples Treatment""},{""services"":""Leucoderma Treatment""},{""services"":""Laser Hair Removal - Face""},{""services"":""Dermabrasion""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Wart Removal""},{""services"":""Laser Resurfacing""},{""services"":""Photofacial""},{""services"":""Scar Treatment""},{""services"":""Tattoo Removal""}]","Ayala Alabang, Muntinlupa",Asian Hospital and Medical Center - Room No.318,null,"http://www.google.com/maps/place/14.413348,121.043274"
3,Dr. Cristina Regina L. Reyes,"Ayala Alabang, Muntinlupa",null,Free Consultation,https://www.practo.com/muntinlupa/doctor/dr-cristina-regina-l-reyes-dermatologist-cosmetologist?specialization=&practice_id=1120114,"Dr. Cristina Regina L. Reyes is a Dermatologist in Ayala Alabang, Muntinlupa                                                                                      more..","2205, Room Asian Hospital And Medical Center, Civic Drive, Filinvest Corporate City, Alabang,Muntinlupa City., Muntinlupa",Sat,11:00 AM - 1:00 PM,"[{""services"":""Acne / Pimples Treatment""},{""services"":""Leucoderma Treatment""},{""services"":""Laser Hair Removal - Face""},{""services"":""Dermabrasion""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Wart Removal""},{""services"":""Laser Resurfacing""},{""services"":""Photofacial""},{""services"":""Scar Treatment""},{""services"":""Tattoo Removal""}]","Ayala Alabang, Muntinlupa",Asian Hospital and Medical Center - Room No.318,null,"http://www.google.com/maps/place/14.413348,121.043274"
3,Dr. Cristina Regina L. Reyes,"Ayala Alabang, Muntinlupa",null,Free Consultation,https://www.practo.com/muntinlupa/doctor/dr-cristina-regina-l-reyes-dermatologist-cosmetologist?specialization=&practice_id=1120114,"Dr. Cristina Regina L. Reyes is a Dermatologist in Ayala Alabang, Muntinlupa                                                                                      more..","2205, Room Asian Hospital And Medical Center, Civic Drive, Filinvest Corporate City, Alabang,Muntinlupa City., Muntinlupa","Mon, Fri",2:00 PM - 5:00 PM,"[{""services"":""Acne / Pimples Treatment""},{""services"":""Leucoderma Treatment""},{""services"":""Laser Hair Removal - Face""},{""services"":""Dermabrasion""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Wart Removal""},{""services"":""Laser Resurfacing""},{""services"":""Photofacial""},{""services"":""Scar Treatment""},{""services"":""Tattoo Removal""}]","Ayala Alabang, Muntinlupa",Asian Hospital and Medical Center - Room No.318,null,"http://www.google.com/maps/place/14.413348,121.043274"
4,Dr. Evangeline B. Handog,"Ayala Alabang, Muntinlupa",42,Free Consultation,https://www.practo.com/muntinlupa/doctor/dr-evangeline-b-handog-dermatologist-cosmetologist?specialization=&practice_id=1120610,"Dr. Evangeline B. Handog is a Dermatologist in Ermita, Manila and has an experience of 42 years in this field.                                                    more..","2205, Room Asian Hospital And Medical Center, Civic Drive, Filinvest Corporate City, Alabang,Muntinlupa City., Muntinlupa","Mon - Thu, Sat",9:00 AM - 4:00 PM,"[{""services"":""Photofacial""},{""services"":""Scar Treatment""},{""services"":""Tattoo Removal""},{""services"":""Laser Resurfacing""},{""services"":""Dermabrasion""},{""services"":""Wart Removal""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Leucoderma Treatment""},{""services"":""Laser Hair Removal - Face""},{""services"":""Acne / Pimples Treatment""}]","Ayala Alabang, Muntinlupa",Asian Hospital and Medical Center - Room No.316,null,"http://www.google.com/maps/place/14.413348,121.043274"
4,Dr. Evangeline B. Handog,"Ayala Alabang, Muntinlupa",42,Free Consultation,https://www.practo.com/muntinlupa/doctor/dr-evangeline-b-handog-dermatologist-cosmetologist?specialization=&practice_id=1120610,"Dr. Evangeline B. Handog is a Dermatologist in Ermita, Manila and has an experience of 42 years in this field.                                                    more..","Padre Faura Street Ermita, Manila",Mon - Sat,10:00 AM - 7:00 PM,"[{""services"":""Photofacial""},{""services"":""Scar Treatment""},{""services"":""Tattoo Removal""},{""services"":""Laser Resurfacing""},{""services"":""Dermabrasion""},{""services"":""Wart Removal""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Leucoderma Treatment""},{""services"":""Laser Hair Removal - Face""},{""services"":""Acne / Pimples Treatment""}]","Ermita, Manila",Farmacia Fatima,₱1000,"http://www.google.com/maps/place/14.58024,120.98751"
5,Dr. Filomena Montinola,"Ayala Alabang, Muntinlupa",23,Free Consultation,https://www.practo.com/muntinlupa/doctor/dr-filomena-montinola-family-physician?specialization=&practice_id=853095,"Dr. Filomena Montinola is a Dermatologist in Ayala Alabang, Muntinlupa and has an experience of 23 years in this field.                                           more..","2205, Room Asian Hospital And Medical Center, Civic Drive, Filinvest Corporate City, Alabang,Muntinlupa City., Muntinlupa",Mon - Tue,9:00 AM - 12:00 PM,"[{""services"":""General Health""},{""services"":""Acute Illnesses""},{""services"":""Cold""},{""services"":""Diabetes""},{""services"":""General Illness""},{""services"":""Arthritis Management""},{""services"":""Chronic Disease""},{""services"":""Vaccination/ Immunization""},{""services"":""Health Checkup (General)""}]","Ayala Alabang, Muntinlupa",Asian Hospital and Medical Center Room No.117,null,"http://www.google.com/maps/place/14.413348,121.043274"
5,Dr. Filomena Montinola,"Ayala Alabang, Muntinlupa",23,Free Consultation,https://www.practo.com/muntinlupa/doctor/dr-filomena-montinola-family-physician?specialization=&practice_id=853095,"Dr. Filomena Montinola is a Dermatologist in Ayala Alabang, Muntinlupa and has an experience of 23 years in this field.                                           more..","2205, Room Asian Hospital And Medical Center, Civic Drive, Filinvest Corporate City, Alabang,Muntinlupa City., Muntinlupa",Fri,2:00 PM - 5:00 PM,"[{""services"":""General Health""},{""services"":""Acute Illnesses""},{""services"":""Cold""},{""services"":""Diabetes""},{""services"":""General Illness""},{""services"":""Arthritis Management""},{""services"":""Chronic Disease""},{""services"":""Vaccination/ Immunization""},{""services"":""Health Checkup (General)""}]","Ayala Alabang, Muntinlupa",Asian Hospital and Medical Center Room No.117,null,"http://www.google.com/maps/place/14.413348,121.043274"
6,Dr. Francis Michael M. Marcelino,"Alabang, Muntinlupa",10,₱600,https://www.practo.com/muntinlupa/doctor/francis-michael-m-marcelino-dermatologist-cosmetologist?specialization=&practice_id=728247,"Dr. Francis Michael M. Marcelino is a Dermatologist in Alabang, Muntinlupa and has an experience of 10 years in this field.                                       more..","Double E Brothers Bldg. Aguirre Avenue BF homes Paranaque, Westgate Center, Filinvest Corporate City, Muntinlupa",Mon - Sun,10:00 AM - 8:00 PM,"[{""services"":""Peel, Polishing, Lasers""},{""services"":""Dental Fillings""},{""services"":""Anti Aging Treatment""},{""services"":""Acne / Pimples Treatment""},{""services"":""Dermaroller""},{""services"":""Dermabrasion""},{""services"":""Laser Hair Removal - Face""},{""services"":""Chemical Peel""},{""services"":""Hair Loss Treatment""},{""services"":""Scar Treatment""},{""services"":""Botox Injections""},{""services"":""Tattoo Removal""},{""services"":""Wart Removal""}]","Alabang, Muntinlupa",Acnecure Oblepias Dermatological Group,₱600,"http://www.google.com/maps/place/14.425765,121.038734"
6,Dr. Francis Michael M. Marcelino,"Alabang, Muntinlupa",10,₱600,https://www.practo.com/muntinlupa/doctor/francis-michael-m-marcelino-dermatologist-cosmetologist?specialization=&practice_id=728247,"Dr. Francis Michael M. Marcelino is a Dermatologist in Alabang, Muntinlupa and has an experience of 10 years in this field.                                       more..","Room722 Medical Offices Building Asian Hospital Medical Center 2205 Civic Dr, Muntinlupa, 1780 Metro Manila, Muntinlupa","Mon, Wed, Sat",3:00 PM - 5:00 PM,"[{""services"":""Peel, Polishing, Lasers""},{""services"":""Dental Fillings""},{""services"":""Anti Aging Treatment""},{""services"":""Acne / Pimples Treatment""},{""services"":""Dermaroller""},{""services"":""Dermabrasion""},{""services"":""Laser Hair Removal - Face""},{""services"":""Chemical Peel""},{""services"":""Hair Loss Treatment""},{""services"":""Scar Treatment""},{""services"":""Botox Injections""},{""services"":""Tattoo Removal""},{""services"":""Wart Removal""}]","Alabang, Muntinlupa",Tokyo Healthlink,₱600,"http://www.google.com/maps/place/14.413431,121.043686"
7,Dr. Herbia Joy Mongcal,"Alabang, Muntinlupa",25,₱500,https://www.practo.com/muntinlupa/doctor/herbia-joy-mongcal-dermatologist?specialization=&practice_id=1113565,"Dr. Herbia Joy Gonzales-Mongcal graduated from the University of San Carlos, Cebu City with a degree in BS Biology and went on to medical school at the Cebu Ins  more..","Unit #31, Pearl Road, Sta. Rosa Commercial Complex, Muntinlupa","Mon - Wed, Fri - Sat",11:00 AM - 2:00 PM,"[{""services"":""Anti Aging Treatment""},{""services"":""Fillers""},{""services"":""Diamond Peel""},{""services"":""Instant Hairwax""},{""services"":""Botox""},{""services"":""Placenta Injection""},{""services"":""Body Scrubing""},{""services"":""Sclerotherapy""},{""services"":""Flat Wart Removal""},{""services"":""UltraLipo""},{""services"":""Fat Transfer""},{""services"":""Haircial""},{""services"":""IPL""},{""services"":""Facial""},{""services"":""Radio frequency""}]","Alabang, Muntinlupa",SkinTrends,₱500,"http://www.google.com/maps/place/14.416755,121.04108"
7,Dr. Herbia Joy Mongcal,"Alabang, Muntinlupa",25,₱500,https://www.practo.com/muntinlupa/doctor/herbia-joy-mongcal-dermatologist?specialization=&practice_id=1113565,"Dr. Herbia Joy Gonzales-Mongcal graduated from the University of San Carlos, Cebu City with a degree in BS Biology and went on to medical school at the Cebu Ins  more..","Upper Ground Level Alimall Phase II Araneta Center Cubao, Quezon City",Thu,1:00 PM - 4:00 PM,"[{""services"":""Anti Aging Treatment""},{""services"":""Fillers""},{""services"":""Diamond Peel""},{""services"":""Instant Hairwax""},{""services"":""Botox""},{""services"":""Placenta Injection""},{""services"":""Body Scrubing""},{""services"":""Sclerotherapy""},{""services"":""Flat Wart Removal""},{""services"":""UltraLipo""},{""services"":""Fat Transfer""},{""services"":""Haircial""},{""services"":""IPL""},{""services"":""Facial""},{""services"":""Radio frequency""}]","Cubao, Quezon City",Skintrends Ali Mall,₱500,"http://www.google.com/maps/place/14.619662,121.05665"
7,Dr. Herbia Joy Mongcal,"Alabang, Muntinlupa",25,₱500,https://www.practo.com/muntinlupa/doctor/herbia-joy-mongcal-dermatologist?specialization=&practice_id=1113565,"Dr. Herbia Joy Gonzales-Mongcal graduated from the University of San Carlos, Cebu City with a degree in BS Biology and went on to medical school at the Cebu Ins  more..","Level 3, Festival Supermall (Ace Hardware Wing) Alabang, Muntinlupa","Tue, Sat",5:00 PM - 7:00 PM,"[{""services"":""Anti Aging Treatment""},{""services"":""Fillers""},{""services"":""Diamond Peel""},{""services"":""Instant Hairwax""},{""services"":""Botox""},{""services"":""Placenta Injection""},{""services"":""Body Scrubing""},{""services"":""Sclerotherapy""},{""services"":""Flat Wart Removal""},{""services"":""UltraLipo""},{""services"":""Fat Transfer""},{""services"":""Haircial""},{""services"":""IPL""},{""services"":""Facial""},{""services"":""Radio frequency""}]","Alabang, Muntinlupa",SkinTrends Festival,₱500,"http://www.google.com/maps/place/14.417557,121.04168"
7,Dr. Herbia Joy Mongcal,"Alabang, Muntinlupa",25,₱500,https://www.practo.com/muntinlupa/doctor/herbia-joy-mongcal-dermatologist?specialization=&practice_id=1113565,"Dr. Herbia Joy Gonzales-Mongcal graduated from the University of San Carlos, Cebu City with a degree in BS Biology and went on to medical school at the Cebu Ins  more..","3F Unit 260 A Eastwood Cyber And Fashion Mall Eastwood Libis, Quezon City",Thu,5:00 PM - 7:00 PM,"[{""services"":""Anti Aging Treatment""},{""services"":""Fillers""},{""services"":""Diamond Peel""},{""services"":""Instant Hairwax""},{""services"":""Botox""},{""services"":""Placenta Injection""},{""services"":""Body Scrubing""},{""services"":""Sclerotherapy""},{""services"":""Flat Wart Removal""},{""services"":""UltraLipo""},{""services"":""Fat Transfer""},{""services"":""Haircial""},{""services"":""IPL""},{""services"":""Facial""},{""services"":""Radio frequency""}]","Bagumbayan, Quezon City",SkinTrends,₱600,"http://www.google.com/maps/place/14.607364,121.08015"
8,Dr. Janet De Grano,"Ayala Alabang, Muntinlupa",24,Free Consultation,https://www.practo.com/muntinlupa/doctor/dr-janet-de-grano-dermatologist-cosmetologist?specialization=&practice_id=909318,"Dr. Janet De Grano is a Dermatologist in Batangas City, Batangas and has an experience of 24 years in this field.                                                 more..","2205, Room Asian Hospital And Medical Center, Civic Drive, Filinvest Corporate City, Alabang,Muntinlupa City., Muntinlupa","Mon, Fri",10:00 AM - 1:00 PM,"[{""services"":""Photofacial""},{""services"":""Anti Aging Treatment""},{""services"":""Wart Removal""},{""services"":""Laser Resurfacing""},{""services"":""Botox Injections""},{""services"":""Acne / Pimples Treatment""},{""services"":""Peel, Polishing, Lasers""},{""services"":""Dermabrasion""},{""services"":""Scar Treatment""},{""services"":""Laser Hair Removal - Face""}]","Ayala Alabang, Muntinlupa",Asian Hospital Medical Center Room No.405,null,"http://www.google.com/maps/place/14.413348,121.043274"
