id,name,loc,years,fee,link-href,info,clinic_add,sched_day,sched_time,services,clinic_loc,clinic_name,clinic_fee,clinic_dir
0,Dr. Aileen Bernardo Reyes,"BF Homes, Paranaque",18,₱350,https://www.practo.com/paranaque/doctor/dr-aileen-bernardo-reyes-dermatologist-cosmetologist?specialization=&practice_id=745159,"Dr. Aileen Bernardo Reyes is a Dermatologist in BF Homes, Paranaque and has an experience of 18 years in this field.                                              more..","2/F Unit F JLA Watch Tower Bldg, Elizalde St. Bf Homes, Paranaque","Tue, Thu, Sat",1:00 AM - 7:00 PM,"[{""services"":""Botox Injections""},{""services"":""TCA Peel""},{""services"":""Anti Aging Treatment""},{""services"":""Accupressure""},{""services"":""Slimming Treatment""},{""services"":""Dermaroller""},{""services"":""Body Peeling""},{""services"":""Glycolic Peel""},{""services"":""Acne / Pimples Treatment""}]","BF Homes, Paranaque",Dermatology Associates,₱350,"http://www.google.com/maps/place/14.448911,121.02818"
1,Dr. Elmira Chu-Magdaluyo,"BF Homes, Paranaque",18,"₱1,000",https://www.practo.com/paranaque/doctor/elmira-chu-magdaluyo-dermatologist?specialization=&practice_id=1116799,"Dr. Elmira Chu-Magdaluyo is a Dermatologist in BF Homes, Paranaque and has an experience of 18 years in this field.                                               more..","#11 CTP Building President’s Avenue BF Homes, Landmark: PS Bank ATM, Paranaque","Mon, Wed, Fri",2:00 PM - 7:00 PM,"[{""services"":""Cosmetic Dermatoogy""}]","BF Homes, Paranaque",Optima Aesthetics,₱1000,"http://www.google.com/maps/place/14.448561,121.02972"
2,Dr. Emmylou Eclipse Yngson,"San Dionisio, Paranaque",14,₱200,https://www.practo.com/paranaque/doctor/dr-emmylou-eclipse-yngson-dermatologist-cosmetologist?specialization=&practice_id=926946,"Dr. Emmylou Eclipse Yngson is a Dermatologist in San Lorenzo, Makati and has an experience of 14 years in this field.                                             more..","4/F Bldg 3 Leo's Building 8133-8135 Dr. A. Santos Ave, Paranaque",Mon - Sat,10:00 AM - 7:00 PM,"[{""services"":""Aesthetic Dermatology""},{""services"":""Rhinoplasty""},{""services"":""Hair Transplant Surgery""},{""services"":""Thread Lift""}]","San Dionisio, Paranaque",Dermaesthetique,₱200,"http://www.google.com/maps/place/14.477931,120.99854"
2,Dr. Emmylou Eclipse Yngson,"San Dionisio, Paranaque",14,₱200,https://www.practo.com/paranaque/doctor/dr-emmylou-eclipse-yngson-dermatologist-cosmetologist?specialization=&practice_id=926946,"Dr. Emmylou Eclipse Yngson is a Dermatologist in San Lorenzo, Makati and has an experience of 14 years in this field.                                             more..","Unit 105 Manila Residences, Taft Avenue, Landmark: Near DLSU, Manila",Thu,11:00 AM - 6:00 PM,"[{""services"":""Aesthetic Dermatology""},{""services"":""Rhinoplasty""},{""services"":""Hair Transplant Surgery""},{""services"":""Thread Lift""}]","Malate, Manila",Dermaesthetique,₱200,"http://www.google.com/maps/place/14.564935,120.993935"
2,Dr. Emmylou Eclipse Yngson,"San Dionisio, Paranaque",14,₱200,https://www.practo.com/paranaque/doctor/dr-emmylou-eclipse-yngson-dermatologist-cosmetologist?specialization=&practice_id=926946,"Dr. Emmylou Eclipse Yngson is a Dermatologist in San Lorenzo, Makati and has an experience of 14 years in this field.                                             more..","Unit 105 Manila Residences, Taft Avenue, Landmark: Near DLSU, Manila","Mon - Wed, Fri - Sat",11:00 AM - 2:00 PM,"[{""services"":""Aesthetic Dermatology""},{""services"":""Rhinoplasty""},{""services"":""Hair Transplant Surgery""},{""services"":""Thread Lift""}]","Malate, Manila",Dermaesthetique,₱200,"http://www.google.com/maps/place/14.564935,120.993935"
2,Dr. Emmylou Eclipse Yngson,"San Dionisio, Paranaque",14,₱200,https://www.practo.com/paranaque/doctor/dr-emmylou-eclipse-yngson-dermatologist-cosmetologist?specialization=&practice_id=926946,"Dr. Emmylou Eclipse Yngson is a Dermatologist in San Lorenzo, Makati and has an experience of 14 years in this field.                                             more..","U-107 Manila Executive Regency 1200 Jorge Bocobo St, Bgy 670, Zone 072 Ermita, Manila",Fri,9:00 AM - 9:00 PM,"[{""services"":""Aesthetic Dermatology""},{""services"":""Rhinoplasty""},{""services"":""Hair Transplant Surgery""},{""services"":""Thread Lift""}]","Ermita, Manila",Dermaesthetique clinic,₱200,"http://www.google.com/maps/place/14.578739,120.98239"
2,Dr. Emmylou Eclipse Yngson,"San Dionisio, Paranaque",14,₱200,https://www.practo.com/paranaque/doctor/dr-emmylou-eclipse-yngson-dermatologist-cosmetologist?specialization=&practice_id=926946,"Dr. Emmylou Eclipse Yngson is a Dermatologist in San Lorenzo, Makati and has an experience of 14 years in this field.                                             more..","Paseo Tesoro Building, 822 A. Arnaiz Avenue, San Lorenzo Village, Makati City., Makati",Wed,6:00 PM - 9:00 PM,"[{""services"":""Aesthetic Dermatology""},{""services"":""Rhinoplasty""},{""services"":""Hair Transplant Surgery""},{""services"":""Thread Lift""}]","San Lorenzo, Makati",Derm Aesthetique Skin Clinic,₱200,"http://www.google.com/maps/place/14.550849,121.017975"
3,Dr. Jacqueline M. Luna,"BF Homes, Paranaque",18,₱500,https://www.practo.com/paranaque/doctor/jaqueline-luna-dermatologist-cosmetologist?specialization=&practice_id=917234,She's the head dermatologist in Luna Dermatologica.,"Unit 206B Pergola Mall, Aguirre Avenue corner Gaches Street BF Homes, Landmark: Tropical Hut Grocery, BF Pque, Paranaque",Mon - Sun,11:00 AM - 8:00 PM,"[{""services"":""Fractional CO2 Laser Resurfacing""},{""services"":""Skin Biopsy""},{""services"":""Sclerotherapy""},{""services"":""Dermal fillers""},{""services"":""Botox Injections""},{""services"":""Intralesional Injection""},{""services"":""DIODE LASER HAIR REMOVAL""},{""services"":""Milia extraction""},{""services"":""Mole Removal""},{""services"":""Electrocautery""},{""services"":""Radiofrequency & Ultrasound Cavitation""},{""services"":""Signature Facial""},{""services"":""Regular Facial""},{""services"":""Nail Diseases Treatment""},{""services"":""Consultation""}]","BF Homes, Paranaque",Luna Dermatologica Inc,₱500,"http://www.google.com/maps/place/14.44562,121.0277"
4,Dr. Jennifer Lu-De Los Santos,"San Isidro, Paranaque",10,₱500,https://www.practo.com/paranaque/doctor/jennifer-lu-de-los-santos-dermatologist-cosmetologist?specialization=&practice_id=739364,"Dr. Jennifer Lu-De Los Santos is a Dermatologist in Rosario, Cavite and has an experience of 10 years in this field.                                              more..","8264 Dr. A. Santos Avenue,, Paranaque",Mon - Sat,10:00 AM - 7:00 PM,"[{""services"":""Wart Removal""},{""services"":""Mesotherapy""},{""services"":""Melasma Treatment""},{""services"":""Laser Hair Removal - Face""},{""services"":""Acne / Pimples Treatment""},{""services"":""Dermabrasion""},{""services"":""Hair Loss Treatment""},{""services"":""Anti Aging Treatment""},{""services"":""Medical Vitiligo Treatment""},{""services"":""Glycolic Peel""},{""services"":""Chemical Peel""},{""services"":""Botox Injections""},{""services"":""Stretch Marks Treatment""},{""services"":""Wrinkle Treatment""},{""services"":""Accupressure""}]","San Isidro, Paranaque",Delos Santos Skin Care Center,₱500,"http://www.google.com/maps/place/14.474819,120.999016"
4,Dr. Jennifer Lu-De Los Santos,"San Isidro, Paranaque",10,₱500,https://www.practo.com/paranaque/doctor/jennifer-lu-de-los-santos-dermatologist-cosmetologist?specialization=&practice_id=739364,"Dr. Jennifer Lu-De Los Santos is a Dermatologist in Rosario, Cavite and has an experience of 10 years in this field.                                              more..","375 P. Burgos Ave. Caridad, Cavite City, Cavite, Cavite",Sat,10:00 AM - 12:00 PM,"[{""services"":""Wart Removal""},{""services"":""Mesotherapy""},{""services"":""Melasma Treatment""},{""services"":""Laser Hair Removal - Face""},{""services"":""Acne / Pimples Treatment""},{""services"":""Dermabrasion""},{""services"":""Hair Loss Treatment""},{""services"":""Anti Aging Treatment""},{""services"":""Medical Vitiligo Treatment""},{""services"":""Glycolic Peel""},{""services"":""Chemical Peel""},{""services"":""Botox Injections""},{""services"":""Stretch Marks Treatment""},{""services"":""Wrinkle Treatment""},{""services"":""Accupressure""}]","Cavite City, Cavite",Bautista Hospital,₱400,"http://www.google.com/maps/place/14.47713,120.89197"
