id,name,loc,years,fee,link-href,info,clinic_add,sched_day,sched_time,services,clinic_loc,clinic_name,clinic_fee,clinic_dir
0,Dr. Claudine Y. Silva,"Ortigas, Pasig",13,Free Consultation,https://www.practo.com/pasig/doctor/dr-claudine-y-silva-dermatologist-cosmetologist?specialization=&practice_id=1130774,"Dr. Claudine Y. Silva is a Dermatologist in Ortigas, Pasig and has an experience of 13 years in this field.                                                       more..","1604, 32nd St, Taguig, Metro Manila, Philippines, Landmark: Near S&R, Taguig","Mon - Tue, Thu - Fri",8:00 AM - 11:00 AM,[],"Fort Bonifacio, Taguig",St. Luke's Medical Center - Room No. 735 Medical Arts Building,null,"http://www.google.com/maps/place/14.554809,121.04763"
0,Dr. Claudine Y. Silva,"Ortigas, Pasig",13,Free Consultation,https://www.practo.com/pasig/doctor/dr-claudine-y-silva-dermatologist-cosmetologist?specialization=&practice_id=1130774,"Dr. Claudine Y. Silva is a Dermatologist in Ortigas, Pasig and has an experience of 13 years in this field.                                                       more..","Ortigas Avenue, Pasig",Mon - Sat,10:00 AM - 7:00 PM,[],"Ortigas, Pasig",The Medical City - Room No. 1201,null,"http://www.google.com/maps/place/14.589618,121.06961"
1,Dr. Cristina Puyat,"Bagong Ilog, Pasig",19,"₱1,500",https://www.practo.com/pasig/doctor/cristina-puyat-dermatologist?specialization=&practice_id=1130193,"Dr. Puyat is the founder and medical director of ASCI. She received her medical degree from the University of Santo Tomas, and completed her residency in dermat  more..","Medical Plaza, San Miguel Avenue, Pasig",Mon - Sat,10:00 AM - 6:00 PM,"[{""services"":""Aesthetic Dermatology""},{""services"":""Stem Cell and Regenerative Theraphy""},{""services"":""Rheumatology""},{""services"":""Anti aging Therapy""}]","Bagong Ilog, Pasig",Asian Stem Cell Institute,₱1500,"http://www.google.com/maps/place/14.580401,121.05942"
2,Dr. Donna Marie Leelin - Sarrosa,"Ugong, Pasig",22,Free Consultation,https://www.practo.com/pasig/doctor/donna-marie-leelin-sarrosa-dermatologist-cosmetologist?specialization=&practice_id=728298,"Dr. Donna Marie Leelin - Sarrosa is a Dermatologist in Ugong, Pasig and has an experience of 22 years in this field.                                              more..","RS105, Joya South, Estrella St. Rockwell Center, Pasig",Sun,12:00 PM - 6:00 PM,"[{""services"":""Laser Resurfacing""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Photofacial""},{""services"":""Weight Loss Diet Counseling""},{""services"":""Wart Removal""},{""services"":""Anti Aging Treatment""},{""services"":""Leucoderma Treatment""},{""services"":""Tattoo Removal""},{""services"":""Laser Hair Removal - Face""}]","Ugong, Pasig",Derma 360,null,"http://www.google.com/maps/place/14.589134,121.060616"
2,Dr. Donna Marie Leelin - Sarrosa,"Ugong, Pasig",22,Free Consultation,https://www.practo.com/pasig/doctor/donna-marie-leelin-sarrosa-dermatologist-cosmetologist?specialization=&practice_id=728298,"Dr. Donna Marie Leelin - Sarrosa is a Dermatologist in Ugong, Pasig and has an experience of 22 years in this field.                                              more..","RS105, Joya South, Estrella St. Rockwell Center, Pasig",Mon - Sat,12:00 PM - 9:00 PM,"[{""services"":""Laser Resurfacing""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Photofacial""},{""services"":""Weight Loss Diet Counseling""},{""services"":""Wart Removal""},{""services"":""Anti Aging Treatment""},{""services"":""Leucoderma Treatment""},{""services"":""Tattoo Removal""},{""services"":""Laser Hair Removal - Face""}]","Ugong, Pasig",Derma 360,null,"http://www.google.com/maps/place/14.589134,121.060616"
3,Dr. Elsa B. Magno,"Malinao, Pasig",31,₱300,https://www.practo.com/pasig/doctor/dr-elsa-magno-dermatologist-cosmetologist?specialization=&practice_id=743496,"Dr. Elsa Magno is a Dermatologist in Malinao, Pasig and has an experience of 26 years in this field. Dr. Elsa Magno practices at EBM Dermamedic Center in Malina  more..","167 R. Jabson St. , Malinao Pasig City, Landmark: Beside Pasig Parish Cooperative, Pasig","Tue - Wed, Fri - Sat",10:00 AM - 2:00 PM,"[{""services"":""Wart Removal""},{""services"":""Anti Aging Treatment""},{""services"":""Peel, Polishing, Lasers""},{""services"":""Laser Resurfacing""},{""services"":""Mole Removal""},{""services"":""Leucoderma Treatment""},{""services"":""Medical Vitiligo Treatment""},{""services"":""Electrocautery (Warts, Syringoma, Milia)""},{""services"":""Chemical Peeling""},{""services"":""Sclerotheraphy""},{""services"":""Pimple Injection""},{""services"":""Keloid, Eczema Injection""},{""services"":""Acne / Pimples Treatment""},{""services"":""Diamond Peeling""},{""services"":""Whitening System""}]","Malinao, Pasig",EBM Dermamedic Center,₱300,"http://www.google.com/maps/place/14.559911,121.076385"
3,Dr. Elsa B. Magno,"Malinao, Pasig",31,₱300,https://www.practo.com/pasig/doctor/dr-elsa-magno-dermatologist-cosmetologist?specialization=&practice_id=743496,"Dr. Elsa Magno is a Dermatologist in Malinao, Pasig and has an experience of 26 years in this field. Dr. Elsa Magno practices at EBM Dermamedic Center in Malina  more..","167 R. Jabson St. , Malinao Pasig City, Landmark: Beside Pasig Parish Cooperative, Pasig","Mon, Thu",10:00 AM - 6:00 PM,"[{""services"":""Wart Removal""},{""services"":""Anti Aging Treatment""},{""services"":""Peel, Polishing, Lasers""},{""services"":""Laser Resurfacing""},{""services"":""Mole Removal""},{""services"":""Leucoderma Treatment""},{""services"":""Medical Vitiligo Treatment""},{""services"":""Electrocautery (Warts, Syringoma, Milia)""},{""services"":""Chemical Peeling""},{""services"":""Sclerotheraphy""},{""services"":""Pimple Injection""},{""services"":""Keloid, Eczema Injection""},{""services"":""Acne / Pimples Treatment""},{""services"":""Diamond Peeling""},{""services"":""Whitening System""}]","Malinao, Pasig",EBM Dermamedic Center,₱300,"http://www.google.com/maps/place/14.559911,121.076385"
4,Dr. Elsie Reynosa P. Floreza,"Ugong, Pasig",null,Free Consultation,https://www.practo.com/pasig/doctor/dr-elsie-reynosa-p-floreza-dermatologist-cosmetologist?specialization=&practice_id=728298,"Dr. Elsie Reynosa P. Floreza is a Dermatologist in Ugong, Pasig                                                                                                   more..","RS105, Joya South, Estrella St. Rockwell Center, Pasig",Mon - Sat,12:00 PM - 9:00 PM,"[{""services"":""Anti Aging Treatment""},{""services"":""Wart Removal""},{""services"":""Dermaroller""},{""services"":""Chemical Peel""},{""services"":""Laser Hair Removal - Face""},{""services"":""Acne / Pimples Treatment""},{""services"":""Scar Treatment""},{""services"":""Botox Injections""},{""services"":""Hair Loss Treatment""},{""services"":""Dental Fillings""}]","Ugong, Pasig",Derma 360,null,"http://www.google.com/maps/place/14.589134,121.060616"
4,Dr. Elsie Reynosa P. Floreza,"Ugong, Pasig",null,Free Consultation,https://www.practo.com/pasig/doctor/dr-elsie-reynosa-p-floreza-dermatologist-cosmetologist?specialization=&practice_id=728298,"Dr. Elsie Reynosa P. Floreza is a Dermatologist in Ugong, Pasig                                                                                                   more..","#2 Amorsolo Street Legaspi Village, Makati, Landmark: Near RCBC Plaza Ayala Avenue, Makati",Sat,2:00 PM - 6:00 PM,"[{""services"":""Anti Aging Treatment""},{""services"":""Wart Removal""},{""services"":""Dermaroller""},{""services"":""Chemical Peel""},{""services"":""Laser Hair Removal - Face""},{""services"":""Acne / Pimples Treatment""},{""services"":""Scar Treatment""},{""services"":""Botox Injections""},{""services"":""Hair Loss Treatment""},{""services"":""Dental Fillings""}]","San Lorenzo, Makati",Makati Medical Center - CIrc Room No. 362,₱800,"http://www.google.com/maps/place/14.558964,121.01438"
4,Dr. Elsie Reynosa P. Floreza,"Ugong, Pasig",null,Free Consultation,https://www.practo.com/pasig/doctor/dr-elsie-reynosa-p-floreza-dermatologist-cosmetologist?specialization=&practice_id=728298,"Dr. Elsie Reynosa P. Floreza is a Dermatologist in Ugong, Pasig                                                                                                   more..","#2 Amorsolo Street Legaspi Village, Makati, Landmark: Near RCBC Plaza Ayala Avenue, Makati","Tue, Thu",2:30 PM - 6:00 PM,"[{""services"":""Anti Aging Treatment""},{""services"":""Wart Removal""},{""services"":""Dermaroller""},{""services"":""Chemical Peel""},{""services"":""Laser Hair Removal - Face""},{""services"":""Acne / Pimples Treatment""},{""services"":""Scar Treatment""},{""services"":""Botox Injections""},{""services"":""Hair Loss Treatment""},{""services"":""Dental Fillings""}]","San Lorenzo, Makati",Makati Medical Center - CIrc Room No. 362,₱800,"http://www.google.com/maps/place/14.558964,121.01438"
4,Dr. Elsie Reynosa P. Floreza,"Ugong, Pasig",null,Free Consultation,https://www.practo.com/pasig/doctor/dr-elsie-reynosa-p-floreza-dermatologist-cosmetologist?specialization=&practice_id=728298,"Dr. Elsie Reynosa P. Floreza is a Dermatologist in Ugong, Pasig                                                                                                   more..","#2 Amorsolo Street Legaspi Village, Makati, Landmark: Near RCBC Plaza Ayala Avenue, Makati","Mon, Wed, Fri",3:30 PM - 6:00 PM,"[{""services"":""Anti Aging Treatment""},{""services"":""Wart Removal""},{""services"":""Dermaroller""},{""services"":""Chemical Peel""},{""services"":""Laser Hair Removal - Face""},{""services"":""Acne / Pimples Treatment""},{""services"":""Scar Treatment""},{""services"":""Botox Injections""},{""services"":""Hair Loss Treatment""},{""services"":""Dental Fillings""}]","San Lorenzo, Makati",Makati Medical Center - CIrc Room No. 362,₱800,"http://www.google.com/maps/place/14.558964,121.01438"
5,Dr. Geraldine Lagandaon - Schofer,"San Miguel, Pasig",20,₱450,https://www.practo.com/pasig/doctor/dr-geraldine-lagandaon-schofer-dermatologist?specialization=&practice_id=927654,"Dr. Geraldine Lagandaon - Schofer is a Dermatologist in San Miguel, Pasig and has an experience of 20 years in this field.                                        more..","Unit 4, 2F, One Mercedes Plaza, Mercedes Ave. Cor., Market Ave, Landmark: San Miguel, Pasig","Mon, Wed, Fri - Sat",10:00 AM - 9:00 PM,"[{""services"":""Wart Removal""},{""services"":""Anti Aging Treatment""},{""services"":""Scar Treatment""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Dermabrasion""},{""services"":""Photofacial""},{""services"":""Laser Hair Removal - Face""},{""services"":""Acne / Pimples Treatment""}]","San Miguel, Pasig",Schofer Skinlight Dermatology Clinic and Facial Center,₱450,"http://www.google.com/maps/place/14.5680485,121.08568"
5,Dr. Geraldine Lagandaon - Schofer,"San Miguel, Pasig",20,₱450,https://www.practo.com/pasig/doctor/dr-geraldine-lagandaon-schofer-dermatologist?specialization=&practice_id=927654,"Dr. Geraldine Lagandaon - Schofer is a Dermatologist in San Miguel, Pasig and has an experience of 20 years in this field.                                        more..","Unit 4, 2F, One Mercedes Plaza, Mercedes Ave. Cor., Market Ave, Landmark: San Miguel, Pasig",Sun,10:00 AM - 8:00 PM,"[{""services"":""Wart Removal""},{""services"":""Anti Aging Treatment""},{""services"":""Scar Treatment""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Dermabrasion""},{""services"":""Photofacial""},{""services"":""Laser Hair Removal - Face""},{""services"":""Acne / Pimples Treatment""}]","San Miguel, Pasig",Schofer Skinlight Dermatology Clinic and Facial Center,₱450,"http://www.google.com/maps/place/14.5680485,121.08568"
5,Dr. Geraldine Lagandaon - Schofer,"San Miguel, Pasig",20,₱450,https://www.practo.com/pasig/doctor/dr-geraldine-lagandaon-schofer-dermatologist?specialization=&practice_id=927654,"Dr. Geraldine Lagandaon - Schofer is a Dermatologist in San Miguel, Pasig and has an experience of 20 years in this field.                                        more..","Unit 7 Greenwoods Place, Greenwood Avenue Greenwoods Executive Village Cainta, Rizal, Rizal","Tue, Thu",4:00 PM - 7:30 PM,"[{""services"":""Wart Removal""},{""services"":""Anti Aging Treatment""},{""services"":""Scar Treatment""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Dermabrasion""},{""services"":""Photofacial""},{""services"":""Laser Hair Removal - Face""},{""services"":""Acne / Pimples Treatment""}]","Cainta, Rizal",Skinlight Dermatology Clinic and Facial Center,₱450,"http://www.google.com/maps/place/14.562076,121.09703"
6,Dr. Gilbert Yang,"San Miguel, Pasig",21,₱700,https://www.practo.com/pasig/doctor/gilbert-yang-dermatologist-cosmetologist?specialization=&practice_id=1033755,"Dr. Gilbert Yang is a Dermatologist and Venereologist in San Miguel, Pasig and has an experience of 21 years in these fields.                                     more..","Unit 907 Medical Plaza Ortigas 25 San Miguel Avenue Ortigas Center, Pasig","Mon - Wed, Fri - Sat",10:00 AM - 6:00 PM,"[{""services"":""Skin Peeling""},{""services"":""Acne Surgery""}]","San Miguel, Pasig",Dr. Gilbert C. Yang Dermatology Clinic,₱700,"http://www.google.com/maps/place/14.5789385,121.05849"
7,Dr. Jeannie Francisco-Diaz,"San Joaquin, Pasig",16,₱500,https://www.practo.com/pasig/doctor/dr-jennie-francisco-diaz-dermatologist-cosmetologist-dermatologist?specialization=&practice_id=890605,"Dr. Jeannie Francisco-Diaz is a Dermatologist in Tunasan, Muntinlupa and has an experience of 16 years in this field.                                             more..","2nd Level, SM Fairview Quezon City, Quezon City",Sat,10:00 AM - 2:00 PM,"[{""services"":""Other Services On Website""},{""services"":""Ipixel Surfacing""},{""services"":""Ultherapy ( HIFU)""},{""services"":""Laser For Slimming""},{""services"":""Botox / Mesotherapy""}]","Santa Monica, Quezon City",skin 101,₱500,"http://www.google.com/maps/place/14.721107,121.04842"
