id,name,loc,years,fee,link-href,info,clinic_add,sched_day,sched_time,services,clinic_loc,clinic_name,clinic_fee,clinic_dir
0,Dr. Aileen L. Versoza,"Greenhills North, San Juan",14,₱660,https://www.practo.com/san-juan/doctor/dr-aileen-l-versoza-dermatologist-cosmetologist?specialization=&practice_id=726053,"Dr. Aileen L. Versoza is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 14 years in this field.                                               more..","2/L Unit 78 Shoppesville Arcade, Greenhills Shopping Center, Ortigas Avenue, Greenhills, San Juan City., San Juan",Mon - Sat,9:00 AM - 5:00 PM,"[{""services"":""Plastic Surgery Clinic""}]","Greenhills North, San Juan",Skin Care Rx,₱660,"http://www.google.com/maps/place/14.601982,121.04918"
0,Dr. Aileen L. Versoza,"Greenhills North, San Juan",14,₱660,https://www.practo.com/san-juan/doctor/dr-aileen-l-versoza-dermatologist-cosmetologist?specialization=&practice_id=726053,"Dr. Aileen L. Versoza is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 14 years in this field.                                               more..","8 Adriatico Condo Padre Faura Corner Bocobo Street Malate Manila, Manila",Mon - Sun,10:00 AM - 9:00 PM,"[{""services"":""Plastic Surgery Clinic""}]","Ermita, Manila",Healthway Clinic,₱660,"http://www.google.com/maps/place/14.578497,120.98168"
0,Dr. Aileen L. Versoza,"Greenhills North, San Juan",14,₱660,https://www.practo.com/san-juan/doctor/dr-aileen-l-versoza-dermatologist-cosmetologist?specialization=&practice_id=726053,"Dr. Aileen L. Versoza is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 14 years in this field.                                               more..","4th Level Market.Market B6C Taguig City, Taguig",Mon - Sat,7:00 AM - 8:00 PM,"[{""services"":""Plastic Surgery Clinic""}]","Fort Bonifacio, Taguig",Healthway Clinic,₱660,"http://www.google.com/maps/place/14.549537,121.05585"
1,Dr. Angelina P. Aquende,"Greenhills North, San Juan",41,₱350,https://www.practo.com/san-juan/doctor/dr-angelina-p-aquende-dermatologist-cosmetologist?specialization=&practice_id=918259,"Dr. Angelina P. Aquende is a Dermatologist in Greenhills North, San Juan and has an experience of 41 years in this field.                                         more..","Unit 116 Gold Condominium, Annapolis, San Juan, San Juan",Mon - Sat,9:30 AM - 9:30 PM,"[{""services"":""Acne / Pimples Treatment""},{""services"":""Laser Resurfacing""},{""services"":""Anti Aging Treatment""},{""services"":""Scar Treatment""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Photofacial""},{""services"":""Dermabrasion""},{""services"":""Wart Removal""},{""services"":""Laser Hair Removal - Face""}]","Greenhills North, San Juan",Dermdaze Facial Salon,₱350,"http://www.google.com/maps/place/14.605411,121.05494"
1,Dr. Angelina P. Aquende,"Greenhills North, San Juan",41,₱350,https://www.practo.com/san-juan/doctor/dr-angelina-p-aquende-dermatologist-cosmetologist?specialization=&practice_id=918259,"Dr. Angelina P. Aquende is a Dermatologist in Greenhills North, San Juan and has an experience of 41 years in this field.                                         more..","667 F.T Dalupan Sr. Street, Sampaloc, Manila","Mon, Wed",12:30 PM - 6:30 PM,"[{""services"":""Acne / Pimples Treatment""},{""services"":""Laser Resurfacing""},{""services"":""Anti Aging Treatment""},{""services"":""Scar Treatment""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Photofacial""},{""services"":""Dermabrasion""},{""services"":""Wart Removal""},{""services"":""Laser Hair Removal - Face""}]","Sampaloc, Manila",Mary Chiles General Hospital - Room No. 364,null,"http://www.google.com/maps/place/14.610548,120.99665"
1,Dr. Angelina P. Aquende,"Greenhills North, San Juan",41,₱350,https://www.practo.com/san-juan/doctor/dr-angelina-p-aquende-dermatologist-cosmetologist?specialization=&practice_id=918259,"Dr. Angelina P. Aquende is a Dermatologist in Greenhills North, San Juan and has an experience of 41 years in this field.                                         more..","667 F.T Dalupan Sr. Street, Sampaloc, Manila",Fri - Sat,12:30 PM - 7:00 PM,"[{""services"":""Acne / Pimples Treatment""},{""services"":""Laser Resurfacing""},{""services"":""Anti Aging Treatment""},{""services"":""Scar Treatment""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Photofacial""},{""services"":""Dermabrasion""},{""services"":""Wart Removal""},{""services"":""Laser Hair Removal - Face""}]","Sampaloc, Manila",Mary Chiles General Hospital - Room No. 364,null,"http://www.google.com/maps/place/14.610548,120.99665"
2,Dr. Anna Marie Montesa,"Greenhils, San Juan",16,₱600,https://www.practo.com/san-juan/doctor/anna-marie-montesa-dermatologist?specialization=&practice_id=1183813,"Dr. Anna Marie Montesa is a Dermatologist in Greenhils, San Juan and has an experience of 16 years in this field.                                                 more..","5th Floor SM North Edsa, SM The Block Quezon City, SM City North Edsa Scenic Skywalk, Lungsod Quezon, Kalakhang Maynila, Landmark: 5th Floor SM North Edsa The Block, Quezon City","Wed, Sat",10:00 AM - 9:00 PM,"[{""services"":""Skin Care""},{""services"":""Skin Rash Treatment""},{""services"":""Laser therapy""},{""services"":""Hair Regrowth""},{""services"":""Permanent Acne Solutions""},{""services"":""Skin Boosters and Fillers""},{""services"":""Thigh Liposuction""},{""services"":""Laser Hair Removal - Face""},{""services"":""Slimming""},{""services"":""Nose Fillers""},{""services"":""skin checks""},{""services"":""Sclerotherapy""},{""services"":""Breast Augmentation""},{""services"":""Chin Augumentation (Mentoplasty)""},{""services"":""Trichology""}]","Diliman, Quezon City",Montesa Medical Group by Shimmian Manila - SM North Edsa,₱600,"http://www.google.com/maps/place/14.656516,121.03245"
2,Dr. Anna Marie Montesa,"Greenhils, San Juan",16,₱600,https://www.practo.com/san-juan/doctor/anna-marie-montesa-dermatologist?specialization=&practice_id=1183813,"Dr. Anna Marie Montesa is a Dermatologist in Greenhils, San Juan and has an experience of 16 years in this field.                                                 more..","LG2, CTTM Building, Tomas Morato corner Timog, Quezon City, Landmark: Lower Ground CTTM Building, Quezon City","Mon, Fri",11:00 AM - 8:00 PM,"[{""services"":""Skin Care""},{""services"":""Skin Rash Treatment""},{""services"":""Laser therapy""},{""services"":""Hair Regrowth""},{""services"":""Permanent Acne Solutions""},{""services"":""Skin Boosters and Fillers""},{""services"":""Thigh Liposuction""},{""services"":""Laser Hair Removal - Face""},{""services"":""Slimming""},{""services"":""Nose Fillers""},{""services"":""skin checks""},{""services"":""Sclerotherapy""},{""services"":""Breast Augmentation""},{""services"":""Chin Augumentation (Mentoplasty)""},{""services"":""Trichology""}]","Diliman, Quezon City",Montesa Medical Group by Shimmian Manila - Tomas Morato,₱600,"http://www.google.com/maps/place/14.634648,121.03567"
2,Dr. Anna Marie Montesa,"Greenhils, San Juan",16,₱600,https://www.practo.com/san-juan/doctor/anna-marie-montesa-dermatologist?specialization=&practice_id=1183813,"Dr. Anna Marie Montesa is a Dermatologist in Greenhils, San Juan and has an experience of 16 years in this field.                                                 more..","2nd Level Design Mix Building, Connecticut St. Greenhills, San Juan, Landmark: 2nd Level Design Mix Building, San Juan","Tue, Thu",11:00 AM - 8:00 PM,"[{""services"":""Skin Care""},{""services"":""Skin Rash Treatment""},{""services"":""Laser therapy""},{""services"":""Hair Regrowth""},{""services"":""Permanent Acne Solutions""},{""services"":""Skin Boosters and Fillers""},{""services"":""Thigh Liposuction""},{""services"":""Laser Hair Removal - Face""},{""services"":""Slimming""},{""services"":""Nose Fillers""},{""services"":""skin checks""},{""services"":""Sclerotherapy""},{""services"":""Breast Augmentation""},{""services"":""Chin Augumentation (Mentoplasty)""},{""services"":""Trichology""}]","Greenhils, San Juan",Montesa Medical Group by Shimmian Manila - Greenhills,₱600,"http://www.google.com/maps/place/14.601201,121.05442"
3,Dr. Charmaine G. Castillo,"Greenhills North, San Juan",21,₱500,https://www.practo.com/san-juan/doctor/dr-charmaine-g-castillo-dermatologist-cosmetologist?specialization=&practice_id=725554,"Dr. Charmaine G. Castillo is a Dermatologist in Greenhills North, San Juan and has an experience of 21 years in this field.                                       more..","Unit 39 Bridgewayshop, Greenhills Shopping Center, Ortigas Avenue, Landmark: Inside the Shopping Center, San Juan","Mon, Fri",12:00 PM - 5:00 PM,"[{""services"":""Laser Resurfacing""},{""services"":""Photofacial""},{""services"":""Botox Injections""},{""services"":""Tattoo Removal""},{""services"":""Peel, Polishing, Lasers""},{""services"":""Scar Treatment""},{""services"":""Anti Aging Treatment""},{""services"":""Wart Removal""},{""services"":""Dermabrasion""},{""services"":""Acne / Pimples Treatment""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""}]","Greenhills North, San Juan",Dermaestetica,₱500,"http://www.google.com/maps/place/14.604786,121.042915"
3,Dr. Charmaine G. Castillo,"Greenhills North, San Juan",21,₱500,https://www.practo.com/san-juan/doctor/dr-charmaine-g-castillo-dermatologist-cosmetologist?specialization=&practice_id=725554,"Dr. Charmaine G. Castillo is a Dermatologist in Greenhills North, San Juan and has an experience of 21 years in this field.                                       more..","Unit 39 Bridgewayshop, Greenhills Shopping Center, Ortigas Avenue, Landmark: Inside the Shopping Center, San Juan","Tue, Thu",11:00 AM - 6:00 PM,"[{""services"":""Laser Resurfacing""},{""services"":""Photofacial""},{""services"":""Botox Injections""},{""services"":""Tattoo Removal""},{""services"":""Peel, Polishing, Lasers""},{""services"":""Scar Treatment""},{""services"":""Anti Aging Treatment""},{""services"":""Wart Removal""},{""services"":""Dermabrasion""},{""services"":""Acne / Pimples Treatment""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""}]","Greenhills North, San Juan",Dermaestetica,₱500,"http://www.google.com/maps/place/14.604786,121.042915"
4,Dr. Christine Joan Villaroman - Tuliao,"Maytunas, San Juan",13,₱500,https://www.practo.com/san-juan/doctor/dr-christine-villaroman-tuliao-dermatologist-cosmetologist?specialization=&practice_id=887745,"Dr. Christine Joan Villaroman - Tuliao is a Dermatologist in Socorro, Quezon City and has an experience of 13 years in this field.                                more..","araneta center cubao, Quezon City",Sat,3:00 PM - 5:00 PM,"[{""services"":""Botox Injections""},{""services"":""Mole Removal""},{""services"":""Laser Treatment""},{""services"":""Hair Related Diseases""},{""services"":""Hair Removal Treatment""},{""services"":""Wart Removal""},{""services"":""Anti Aging Treatment""},{""services"":""Chemical Peel""},{""services"":""Skin Biopsy""},{""services"":""Nail Problems""},{""services"":""Acne / Pimples Treatment""}]","Socorro, Quezon City",Dermapro,₱500,"http://www.google.com/maps/place/14.619901,121.05067"
4,Dr. Christine Joan Villaroman - Tuliao,"Maytunas, San Juan",13,₱500,https://www.practo.com/san-juan/doctor/dr-christine-villaroman-tuliao-dermatologist-cosmetologist?specialization=&practice_id=887745,"Dr. Christine Joan Villaroman - Tuliao is a Dermatologist in Socorro, Quezon City and has an experience of 13 years in this field.                                more..","200 Wilson Street San Juan, 1502 Manila, Philippines, San Juan",Sat,3:00 PM - 5:00 PM,"[{""services"":""Botox Injections""},{""services"":""Mole Removal""},{""services"":""Laser Treatment""},{""services"":""Hair Related Diseases""},{""services"":""Hair Removal Treatment""},{""services"":""Wart Removal""},{""services"":""Anti Aging Treatment""},{""services"":""Chemical Peel""},{""services"":""Skin Biopsy""},{""services"":""Nail Problems""},{""services"":""Acne / Pimples Treatment""}]","Maytunas, San Juan",Dermapro,₱500,"http://www.google.com/maps/place/14.594557,121.031944"
4,Dr. Christine Joan Villaroman - Tuliao,"Maytunas, San Juan",13,₱500,https://www.practo.com/san-juan/doctor/dr-christine-villaroman-tuliao-dermatologist-cosmetologist?specialization=&practice_id=887745,"Dr. Christine Joan Villaroman - Tuliao is a Dermatologist in Socorro, Quezon City and has an experience of 13 years in this field.                                more..","200 Wilson Street, San Juan",Mon - Sat,10:00 AM - 7:00 PM,"[{""services"":""Botox Injections""},{""services"":""Mole Removal""},{""services"":""Laser Treatment""},{""services"":""Hair Related Diseases""},{""services"":""Hair Removal Treatment""},{""services"":""Wart Removal""},{""services"":""Anti Aging Treatment""},{""services"":""Chemical Peel""},{""services"":""Skin Biopsy""},{""services"":""Nail Problems""},{""services"":""Acne / Pimples Treatment""}]","Maytunas, San Juan",Dermapro,₱500,"http://www.google.com/maps/place/14.594589,121.03191"
4,Dr. Christine Joan Villaroman - Tuliao,"Maytunas, San Juan",13,₱500,https://www.practo.com/san-juan/doctor/dr-christine-villaroman-tuliao-dermatologist-cosmetologist?specialization=&practice_id=887745,"Dr. Christine Joan Villaroman - Tuliao is a Dermatologist in Socorro, Quezon City and has an experience of 13 years in this field.                                more..","200 Wilson Street San Juan, 1502 Manila, Philippines, San Juan","Tue, Thu",2:00 PM - 5:00 PM,"[{""services"":""Botox Injections""},{""services"":""Mole Removal""},{""services"":""Laser Treatment""},{""services"":""Hair Related Diseases""},{""services"":""Hair Removal Treatment""},{""services"":""Wart Removal""},{""services"":""Anti Aging Treatment""},{""services"":""Chemical Peel""},{""services"":""Skin Biopsy""},{""services"":""Nail Problems""},{""services"":""Acne / Pimples Treatment""}]","Maytunas, San Juan",Dermapro,₱500,"http://www.google.com/maps/place/14.594557,121.031944"
4,Dr. Christine Joan Villaroman - Tuliao,"Maytunas, San Juan",13,₱500,https://www.practo.com/san-juan/doctor/dr-christine-villaroman-tuliao-dermatologist-cosmetologist?specialization=&practice_id=887745,"Dr. Christine Joan Villaroman - Tuliao is a Dermatologist in Socorro, Quezon City and has an experience of 13 years in this field.                                more..","araneta center cubao, Quezon City","Tue, Thu",2:00 PM - 5:00 PM,"[{""services"":""Botox Injections""},{""services"":""Mole Removal""},{""services"":""Laser Treatment""},{""services"":""Hair Related Diseases""},{""services"":""Hair Removal Treatment""},{""services"":""Wart Removal""},{""services"":""Anti Aging Treatment""},{""services"":""Chemical Peel""},{""services"":""Skin Biopsy""},{""services"":""Nail Problems""},{""services"":""Acne / Pimples Treatment""}]","Socorro, Quezon City",Dermapro,₱500,"http://www.google.com/maps/place/14.619901,121.05067"
4,Dr. Christine Joan Villaroman - Tuliao,"Maytunas, San Juan",13,₱500,https://www.practo.com/san-juan/doctor/dr-christine-villaroman-tuliao-dermatologist-cosmetologist?specialization=&practice_id=887745,"Dr. Christine Joan Villaroman - Tuliao is a Dermatologist in Socorro, Quezon City and has an experience of 13 years in this field.                                more..","3rd Floor Joya Lofts and Towers Joya Drive Rockwell Center 49 Timog Avenue, South Triangle, Landmark: Commercial Podium, Makati",Wed,4:00 PM - 7:00 PM,"[{""services"":""Botox Injections""},{""services"":""Mole Removal""},{""services"":""Laser Treatment""},{""services"":""Hair Related Diseases""},{""services"":""Hair Removal Treatment""},{""services"":""Wart Removal""},{""services"":""Anti Aging Treatment""},{""services"":""Chemical Peel""},{""services"":""Skin Biopsy""},{""services"":""Nail Problems""},{""services"":""Acne / Pimples Treatment""}]","Guadalupe Viejo, Makati",Beverly Hills 6750,null,"http://www.google.com/maps/place/14.561602,121.03383"
5,Dr. Eric Yalung,"Greenhills North, San Juan",null,"₱1,000",https://www.practo.com/san-juan/doctor/dr-eric-yalung-dermatologist-cosmetologist?specialization=&practice_id=735799,"Dr. Eric Yalung is a Dermatologist in Greenhills North, San Juan                                                                                                  more..","2/F Belson House, 271 EDSA Corner Connecticut Mandaluyong City, Philippines Wack-wack Greenhills,mandaluyong City., San Juan",Mon - Sat,9:00 AM - 7:00 PM,"[{""services"":""Photofacial""},{""services"":""Dermabrasion""},{""services"":""Laser Resurfacing""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Wart Removal""},{""services"":""Leucoderma Treatment""},{""services"":""Laser Hair Removal - Face""},{""services"":""Scar Treatment""},{""services"":""Tattoo Removal""},{""services"":""Acne / Pimples Treatment""}]","Greenhills North, San Juan",Regenestem Asia - Regenerative Medicine and Cosmetic Surgery,₱1000,"http://www.google.com/maps/place/14.599703,121.04958"
6,Dr. Helena C. Milla,"Greenhills North, San Juan",26,₱500,https://www.practo.com/san-juan/doctor/dr-helena-c-milla-dermatologist-cosmetologist?specialization=&practice_id=917122,"Dr. Helena C. Milla is a Dermatologist in Greenhills North, San Juan and has an experience of 26 years in this field.                                             more..","U204 Continental Plaza Condo #45 Annapolis Street Greenhills, San Juan",Mon - Sat,10:00 AM - 7:00 PM,"[{""services"":""Glycolic Peel""},{""services"":""Body Scrubing""},{""services"":""Eye Contour Treatment""},{""services"":""Diamond Peel""},{""services"":""Wart Removal""},{""services"":""RF (Face and Body)""},{""services"":""Armpit and Body Waxing""},{""services"":""Medical Facial""},{""services"":""Galvanic Peel""},{""services"":""Spanish Peel""},{""services"":""Basic Deep Cleansing Facial""},{""services"":""Intralesional Acne Injection""}]","Greenhills North, San Juan",HCM Medical Clinic,₱500,"http://www.google.com/maps/place/14.60242,121.053055"
7,Dr. Jacqueline Mijares-Cua,"Greenhills North, San Juan",19,₱500,https://www.practo.com/san-juan/doctor/dr-jacqueline-mijares-cua-dermatologist-cosmetologist?specialization=&practice_id=886816,"Dr. Jacqueline Mijares-Cua is a Dermatologist in Greenhills North, San Juan and has an experience of 19 years in this field.                                      more..","338 Ortigas Building Greenhills San Juan, Landmark: Beside Burger King Ortigas Greenhills, San Juan",Mon - Sat,1:00 PM - 6:00 PM,"[{""services"":""Laser Hair Removal - Face""},{""services"":""Peel, Polishing, Lasers""},{""services"":""Anti Aging Treatment""},{""services"":""Weight Loss Diet Counseling""},{""services"":""Tattoo Removal""},{""services"":""Acne / Pimples Treatment""},{""services"":""Photofacial""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Scar Treatment""},{""services"":""Dermabrasion""},{""services"":""Leucoderma Treatment""}]","Greenhills North, San Juan",JMC Dermspecialist Clinic,₱500,"http://www.google.com/maps/place/14.604743,121.043755"
8,Dr. Janice Claire C. Cruz,"Greenhills North, San Juan",20,₱500,https://www.practo.com/san-juan/doctor/dr-janice-claire-c-cruz-dermatologist-cosmetologist?specialization=&practice_id=1120758,"Dr. Janice Claire C. Cruz is a Dermatologist in Binondo, Manila and has an experience of 20 years in this field.                                                  more..","10 Wilson Street, Green Hills, San Juan, 1500 Metro Manila, Landmark: Green Hills Shopping Center, San Juan","Mon, Fri",4:00 PM - 6:00 PM,[],"Greenhills North, San Juan",Cardinal Santos Medical Center - Room No. 155,₱500,"http://www.google.com/maps/place/14.596707,121.04583"
