id,name,loc,years,fee,link-href,info,clinic_add,sched_day,sched_time,services,clinic_loc,clinic_name,clinic_fee,clinic_dir
0,Dr. Aileen L. Versoza,"Fort Bonifacio, Taguig",14,₱660,https://www.practo.com/taguig/doctor/dr-aileen-l-versoza-dermatologist-cosmetologist?specialization=&practice_id=873194,"Dr. Aileen L. Versoza is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 14 years in this field.                                               more..","8 Adriatico Condo Padre Faura Corner Bocobo Street Malate Manila, Manila",Mon - Sun,10:00 AM - 9:00 PM,"[{""services"":""Plastic Surgery Clinic""}]","Ermita, Manila",Healthway Clinic,₱660,"http://www.google.com/maps/place/14.578497,120.98168"
0,Dr. Aileen L. Versoza,"Fort Bonifacio, Taguig",14,₱660,https://www.practo.com/taguig/doctor/dr-aileen-l-versoza-dermatologist-cosmetologist?specialization=&practice_id=873194,"Dr. Aileen L. Versoza is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 14 years in this field.                                               more..","4th Level Market.Market B6C Taguig City, Taguig",Mon - Sat,7:00 AM - 8:00 PM,"[{""services"":""Plastic Surgery Clinic""}]","Fort Bonifacio, Taguig",Healthway Clinic,₱660,"http://www.google.com/maps/place/14.549537,121.05585"
0,Dr. Aileen L. Versoza,"Fort Bonifacio, Taguig",14,₱660,https://www.practo.com/taguig/doctor/dr-aileen-l-versoza-dermatologist-cosmetologist?specialization=&practice_id=873194,"Dr. Aileen L. Versoza is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 14 years in this field.                                               more..","2/L Unit 78 Shoppesville Arcade, Greenhills Shopping Center, Ortigas Avenue, Greenhills, San Juan City., San Juan",Mon - Sat,9:00 AM - 5:00 PM,"[{""services"":""Plastic Surgery Clinic""}]","Greenhills North, San Juan",Skin Care Rx,₱660,"http://www.google.com/maps/place/14.601982,121.04918"
1,Dr. Ailza B.R. Limcangco,"Fort Bonifacio, Taguig",16,₱600,https://www.practo.com/taguig/doctor/ailza-b-r-limcangco-dermatologist-cosmetologist?specialization=&practice_id=873194,"Dr. Ailza B.R. Limcangco is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 16 years in this field.                                            more..","4th Level Greenbelt 5 Ayala Center Makati City, Makati",Thu,4:00 PM - 7:00 PM,"[{""services"":""Scar Treatment""},{""services"":""Tattoo Removal""},{""services"":""Dermabrasion""},{""services"":""Laser Hair Removal - Face""},{""services"":""Laser Resurfacing""},{""services"":""Photofacial""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Wart Removal""},{""services"":""Acne / Pimples Treatment""}]","San Lorenzo, Makati",Healthway Clinic,₱500,"http://www.google.com/maps/place/26.857742,80.88134"
1,Dr. Ailza B.R. Limcangco,"Fort Bonifacio, Taguig",16,₱600,https://www.practo.com/taguig/doctor/ailza-b-r-limcangco-dermatologist-cosmetologist?specialization=&practice_id=873194,"Dr. Ailza B.R. Limcangco is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 16 years in this field.                                            more..","4th Level Market.Market B6C Taguig City, Taguig",Fri,12:00 PM - 7:00 PM,"[{""services"":""Scar Treatment""},{""services"":""Tattoo Removal""},{""services"":""Dermabrasion""},{""services"":""Laser Hair Removal - Face""},{""services"":""Laser Resurfacing""},{""services"":""Photofacial""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Wart Removal""},{""services"":""Acne / Pimples Treatment""}]","Fort Bonifacio, Taguig",Healthway Clinic,₱600,"http://www.google.com/maps/place/14.549537,121.05585"
1,Dr. Ailza B.R. Limcangco,"Fort Bonifacio, Taguig",16,₱600,https://www.practo.com/taguig/doctor/ailza-b-r-limcangco-dermatologist-cosmetologist?specialization=&practice_id=873194,"Dr. Ailza B.R. Limcangco is a Dermatologist in Fort Bonifacio, Taguig and has an experience of 16 years in this field.                                            more..","4th Level Market.Market B6C Taguig City, Taguig",Thu,11:00 AM - 1:00 PM,"[{""services"":""Scar Treatment""},{""services"":""Tattoo Removal""},{""services"":""Dermabrasion""},{""services"":""Laser Hair Removal - Face""},{""services"":""Laser Resurfacing""},{""services"":""Photofacial""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Wart Removal""},{""services"":""Acne / Pimples Treatment""}]","Fort Bonifacio, Taguig",Healthway Clinic,₱600,"http://www.google.com/maps/place/14.549537,121.05585"
2,Dr. Aivee A. Teo,"Fort Bonifacio, Taguig",null,"₱1,500",https://www.practo.com/taguig/doctor/aivee-teo-dermatologist-cosmetologist?specialization=&practice_id=728277,"Dr. Aivee Teo is a board certified dermatologist with a special interest in cosmetic laser and aesthetic surgery. Upon graduating from UST, she finished her 3 y  more..","2F, East Building, Forbestown Center, Burgos Circle, Bonifacio Global City, Landmark: Forbestown Center Circle, Taguig",Mon - Sun,10:00 AM - 6:00 PM,"[{""services"":""Laser Resurfacing""},{""services"":""Scar Treatment""},{""services"":""Laser Hair Removal - Face""},{""services"":""Tattoo Removal""},{""services"":""Photofacial""},{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Peel, Polishing, Lasers""},{""services"":""Anti Aging Treatment""},{""services"":""Leucoderma Treatment""},{""services"":""Weight Loss Diet Counseling""}]","Fort Bonifacio, Taguig",The Aivee Clinic,₱1500,"http://www.google.com/maps/place/14.551693,121.0443"
3,Dr. Carmela Dayrit-Castro,"Fort Bonifacio, Taguig",6,₱700,https://www.practo.com/taguig/doctor/carmela-dayrit-castro?specialization=&practice_id=1173108,"Graduated from the College of Medicine, University of the Philippines-Philippine General Hospital and completed the 3 year residency training program in dermato  more..","2/F Venice Grand Canal Mall, Landmark: near Shakey's and Coco, across Nature Republic, Taguig","Mon - Tue, Sun",3:00 PM - 9:00 PM,"[{""services"":""Dermatology Consultation""},{""services"":""Dermatologic Surgery Small""},{""services"":""Dermabrasion""},{""services"":""Atopic Dermatitis Treatment""},{""services"":""Dermoscopy""},{""services"":""Cosmetic Dermatoogy""},{""services"":""Laser Resurfacing""},{""services"":""Fractional Laser""},{""services"":""Laser Hair Removal""},{""services"":""Laser Facials""},{""services"":""Alopecia Areta Treatment""},{""services"":""Androgenetic Alopecia treatment""},{""services"":""Eczema Treatment""},{""services"":""Chemical Peel""},{""services"":""Acne / Pimples Treatment""}]","Fort Bonifacio, Taguig",SkinCell White,₱700,"http://www.google.com/maps/place/14.533542,121.05112"
4,Dr. Carmina Espiritu-Chiong,"Fort Bonifacio, Taguig",null,"₱1,500",https://www.practo.com/taguig/doctor/carmina-espiritu-chiong-dermatologist-cosmetologist?specialization=&practice_id=728326,"Carmina Espiritu-Chiong is a Dermatologist in Fort Bonifacio, Taguig                                                                                              more..","Unit 2C 10, Level 2, Sector Q, District 1, Bonifacio Global City, Landmark: Along BGC High Street, Taguig",Mon - Sat,11:00 AM - 7:00 PM,"[{""services"":""Sun Spots, Age Spots, And Other Pigmented Lesions""},{""services"":""Botox Injections""},{""services"":""Leucoderma Treatment""},{""services"":""Laser Hair Removal - Face""},{""services"":""Tattoo Removal""},{""services"":""Scar Treatment""},{""services"":""Photofacial""},{""services"":""Anti Aging Treatment""},{""services"":""Peel, Polishing, Lasers""},{""services"":""Acne / Pimples Treatment""}]","Fort Bonifacio, Taguig",Renergy Derm Spa,₱1500,"http://www.google.com/maps/place/14.549523,121.05384"
5,Dr. Claudine Y. Silva,"Fort Bonifacio, Taguig",13,Free Consultation,https://www.practo.com/taguig/doctor/dr-claudine-y-silva-dermatologist-cosmetologist?specialization=&practice_id=1130775,"Dr. Claudine Y. Silva is a Dermatologist in Ortigas, Pasig and has an experience of 13 years in this field.                                                       more..","1604, 32nd St, Taguig, Metro Manila, Philippines, Landmark: Near S&R, Taguig","Mon - Tue, Thu - Fri",8:00 AM - 11:00 AM,[],"Fort Bonifacio, Taguig",St. Luke's Medical Center - Room No. 735 Medical Arts Building,null,"http://www.google.com/maps/place/14.554809,121.04763"
